vol,para,line,kind,tag,replace_span,propose,confidence,context,basis,file
005,81,81,合字拆形,<耑甫>,<耑甫>,黼,A,。二十一年，与晋战於石门，斩首六万，天子贺以<耑甫><耑犮>。二十三年，与魏晋战少梁，虏其将公孙,秦本纪天子贺以黼黻；部件还原黼,01史记_005_秦本纪第五.txt
005,81,81,合字拆形,<耑犮>,<耑犮>,黻,A,年，与晋战於石门，斩首六万，天子贺以<耑甫><耑犮>。二十三年，与魏晋战少梁，虏其将公孙痤。二十,同上黼黻；部件还原黻,01史记_005_秦本纪第五.txt
005,96,96,合字拆形,<木虖>,<木虖>,樗,A,石章。伐败赵将泥。伐取义渠二十五城。十一年，<木虖>里疾攻魏焦，降之。败韩岸门，斩首万，其将犀首,秦本纪樗里疾/樗里子专名；木+虖合为樗,01史记_005_秦本纪第五.txt
005,98,98,合字拆形,<木虖>,<木虖>,樗,A,皆东出之魏。伐义渠、丹、犁。二年，初置丞相，<木虖>里疾、甘茂为左右丞相。张仪死於魏。三年，与韩,秦本纪樗里疾/樗里子专名；木+虖合为樗,01史记_005_秦本纪第五.txt
005,98,98,合字拆形,<木虖>,<木虖>,樗,A,仪死於魏。三年，与韩襄王会临晋外。南公揭卒，<木虖>里疾相韩。武王谓甘茂曰：“寡人欲容车通三川，,秦本纪樗里疾/樗里子专名；木+虖合为樗,01史记_005_秦本纪第五.txt
005,101,101,合字拆形,<木虖>,<木虖>,樗,A,。泾阳君质於齐。 日食，昼晦。七年，拔新城。<木虖>里子卒。八年，使将军芊戎攻楚，取新市。齐使章,秦本纪樗里疾/樗里子专名；木+虖合为樗,01史记_005_秦本纪第五.txt
011,20,20,合字拆形,<雨回>,<雨回>,雷,A,民疫。 后三年十月，日月皆赤五日。十二月晦，<雨回>。日如紫。五星逆行守太微。 月贯天廷中。正月,孝景本纪十二月晦雷；雨+回合为雷,01史记_011_孝景本纪第十一.txt
028,40,40,合字拆形,<山胥>,<山胥>,峸,B,川祠，而无诸加。 汧、洛二渊，鸣泽、蒲山、岳<山胥>山之属，为小山川，亦皆岁祷塞泮涸祠，礼不必同,封禅书岳峸山之属常见；请对底本,01史记_028_封禅书第六.txt
037,5,5,合字拆形,<广疌>,<广疌>,𢈻（或作疌，待定底本）,B,伯卒，子考伯立。考伯卒，子嗣伯立。嗣伯卒，子<广疌>伯立。<广疌>伯卒，子靖伯立。靖伯卒，子贞伯,卫世家𢈻伯；广+疌。部分排印作疌伯,01史记_037_卫康叔世家第七.txt
037,5,5,合字拆形,<广疌>,<广疌>,𢈻（或作疌，待定底本）,B,。考伯卒，子嗣伯立。嗣伯卒，子<广疌>伯立。<广疌>伯卒，子靖伯立。靖伯卒，子贞伯立。贞伯卒，子,卫世家𢈻伯；广+疌。部分排印作疌伯,01史记_037_卫康叔世家第七.txt
038,1,1,合字拆形,<阝九>,<阝九>,邘,A,微子数谏，纣不听。及祖伊以周西伯昌之修德，灭<阝九>国，惧祸至，以告纣。纣曰：“我生不有命在天乎,宋微子世家灭邘国；邑旁+九合为邘,01史记_038_宋微子世家第八.txt
040,5,5,合字拆形,<黑旦>,<黑旦>,黫,A,齐太公子吕伋俱事成王。 熊绎生熊艾，熊艾生熊<黑旦>，熊<黑旦>生熊胜。熊胜以弟熊杨为后。熊杨生,楚世家熊艾生熊黫；黑+旦合为黫,01史记_040_楚世家第十.txt
040,5,5,合字拆形,<黑旦>,<黑旦>,黫,A,俱事成王。 熊绎生熊艾，熊艾生熊<黑旦>，熊<黑旦>生熊胜。熊胜以弟熊杨为后。熊杨生熊渠。 熊渠,楚世家熊艾生熊黫；黑+旦合为黫,01史记_040_楚世家第十.txt
040,118,118,合字拆形,<羽氏>,<羽氏>,翅,A,而太山之北举矣。西结境於赵而北达於燕，三国布<羽氏>，则从不待约而可成也。北游目於燕之辽东而南登,楚世家三国布翅、奋翼鼓翅；羽+氏合为翅,01史记_040_楚世家第十.txt
040,119,119,合字拆形,<羽氏>,<羽氏>,翅,A,击韩魏，垂头中国，处既形便，势有地利，奋翼鼓<羽氏>，方三千里，则秦未可得独招而夜射也。”欲以激,楚世家三国布翅、奋翼鼓翅；羽+氏合为翅,01史记_040_楚世家第十.txt
043,36,36,分页断字,<冉页>,髭<冉页>,髯,A,至于後世，且有伉王，赤黑，龙面而鸟噣，鬓麋髭<冉页>，大膺大胸，脩下而冯，左衽界乘，奄有河宗，至,赵世家神谕朱书通行作鬛麟髯；分页断字，脏片段含误留半边髭，应整段换成髯,01史记_043_赵世家第十三.txt
045,23,23,合字拆形,<鱼叟>,<鱼叟>,鮽（通行或作鯫，待定）,B,，秦伐败我鄢。 十六年，秦败我脩鱼，虏得韩将<鱼叟>、申差於浊泽。韩氏急，公仲谓韩王曰：“与国非,韩世家虏得韩将某、申差；鱼+叟合为鮽,01史记_045_韩世家第十五.txt
054,24,24,分页断字,<冓页>,<冓页>,顜（异文講/讲，待拍板）,A,，谥懿侯。子窋代侯。百姓歌之曰：“萧何为法，<冓页>若画一；曹参代之，守而勿失。载其清净，民以宁,民谣固定句；中华本多作顜若画一，汉书作讲。断字形态近講。落盘前定用字,01史记_054_曹相国世家第二十四.txt
069,22,22,合字拆形,<口犮>,<口犮>,待对勘,C,陆断牛马，水截鹄雁，当敌则斩，坚甲铁幕，革抉<口犮>芮，无不毕具。以韩卒之勇，被坚甲，蹠劲弩，带,苏秦列传革抉某芮；禁止盲改,01史记_069_苏秦列传第九.txt
069,45,45,合字拆形,<石蒲>,<石蒲>,蛇/虵（待对勘）,C,食。苏秦笑谓其嫂曰：“何前倨而后恭也？”嫂委<石蒲>服，以面掩地而谢曰：“见季子位高金多也。”苏,苏秦列传通行嫂委蛇服；部件不合，疑编码错位,01史记_069_苏秦列传第九.txt
105,9,9,合字拆形,<目夹>,<目夹>,睫,A,末卒，因嘘唏服臆，魂精泄横，流涕长潸，忽忽承<目夹>，悲不能自止，容貌变更。扁鹊曰：“若太子病，,扁鹊传忽忽承睫；目+夹合为睫,01史记_105_扁鹊仓公列传第四十五.txt
110,4,4,合字拆形,<豸原>,<豸原>,豲,A,西戎八国服於秦，故自陇以西有绵诸、绲戎、翟、<豸原>之戎，岐、梁山、泾、漆之北有义渠、大荔、乌氏,匈奴列传翟、豲之戎；豸+原合为豲,01史记_110_匈奴列传第五十.txt
117,9,9,合字拆形,<车惠>,<车惠>,轊,A,案节未舒，即陵狡兽，辚邛邛，蹴距虚，轶野马而<车惠>騊駼，乘遗风而射游骐；儵眒凄浰，雷动熛至，星,子虚赋迍野马而轊驊騼；车+惠合为轊,01史记_117_司马相如列传第五十七.txt
117,9,9,合字拆形,<谷凡>,<谷凡>,待对勘,C,与，览乎阴林，观壮士之暴怒，与猛兽之恐惧，徼<谷凡>受诎，殚睹众物之变态。 “‘於是郑女曼姬，被,徽某受訖、穷极倦某，版本用字不一,01史记_117_司马相如列传第五十七.txt
117,15,15,合字拆形,<鱼亘>,<鱼亘>,鱣,A,乎滈々，东注大湖，衍溢陂池。於是乎蛟龙赤螭，<鱼亘><鱼瞢>螹离，鰅騄鰬魠，禺禺鱋魶，揵鳍擢尾，,上林赋鱣鱯连称；鱼+亘合为鱣,01史记_117_司马相如列传第五十七.txt
117,15,15,合字拆形,<鱼瞢>,<鱼瞢>,鱯（或鱨，待定）,B,东注大湖，衍溢陂池。於是乎蛟龙赤螭，<鱼亘><鱼瞢>螹离，鰅騄鰬魠，禺禺鱋魶，揵鳍擢尾，振鳞奋翼,紧接鱣后；鱼+瞢合为鱯,01史记_117_司马相如列传第五十七.txt
117,15,15,合字拆形,<鸟加>,<鸟加>,鴐,A,，磷磷烂烂，采色澔旰，丛积乎其中。鸿鹄鹔鸨，<鸟加>鹅鸀<玉鸟>，<鸟睘>目，烦鹜鷛鸬，<鸟,上林赋鴐鹅；鸟+加合为鴐,01史记_117_司马相如列传第五十七.txt
117,15,15,合字拆形,<玉鸟>,<玉鸟>,待对勘,C,采色澔旰，丛积乎其中。鸿鹄鹔鸨，<鸟加>鹅鸀<玉鸟>，<鸟睘>目，烦鹜鷛鸬，<鸟葴><此鸟>,水鸟连称；玉+鸟多候选,01史记_117_司马相如列传第五十七.txt
117,15,15,合字拆形,<鸟睘>,<鸟睘>,待对勘,C,乎其中。鸿鹄鹔鸨，<鸟加>鹅鸀<玉鸟>，<鸟睘>目，烦鹜鷛鸬，<鸟葴><此鸟>鸬，群浮乎其,某目鸟名；需对底本,01史记_117_司马相如列传第五十七.txt
117,15,15,合字拆形,<鸟葴>,<鸟葴>,待对勘,C,加>鹅鸀<玉鸟>，<鸟睘>目，烦鹜鷛鸬，<鸟葴><此鸟>鸬，群浮乎其上。汎淫泛滥，随风澹淡,水鸟连称；需对底本,01史记_117_司马相如列传第五十七.txt
117,15,15,合字拆形,<此鸟>,<此鸟>,待对勘,C,<玉鸟>，<鸟睘>目，烦鹜鷛鸬，<鸟葴><此鸟>鸬，群浮乎其上。汎淫泛滥，随风澹淡，与波摇,同上连称；需对底本,01史记_117_司马相如列传第五十七.txt
117,16,16,合字拆形,<山畾>,<山畾>,壘,B,，阜陵别岛，崴磈岧瘣，丘虚崛{山畾}，隐辚郁<山畾>，登降施靡，陂池貏豸，沇溶淫鬻，散涣夷陆，亭,隐辚郁壘；山+畾合为壘。同段还有花括号山畾,01史记_117_司马相如列传第五十七.txt
117,16,16,合字拆形,<目奄>,<目奄>,晻,B,靡，吐芳扬烈，郁郁斐斐，众香发越，肸蚃布写，<目奄>瞹苾勃。 “於是乎周览泛观，瞋盼轧沕，芒芒恍,晻暧苽勃一类；目+奄合为晻,01史记_117_司马相如列传第五十七.txt
117,17,17,合字拆形,<角耑>,<角耑>,端,A,犀。其北则盛夏含冻裂地，涉冰揭河；兽则麒麟角<角耑>，騊駼橐駞，蛩蛩驒騱，駃騠驴骡。 “於是乎离,神兽名麒麟角端；原文已有角，标签补端,01史记_117_司马相如列传第五十七.txt
117,20,20,合字拆形,<木诸>,<木诸>,槠,A,，发红华，秀朱荣，煌煌扈扈，照曜钜野。沙棠栎<木诸>，华氾檘栌，留落胥馀，仁频并闾，欃檀木兰，豫,沙棠栎槠；木+诸合为槠,01史记_117_司马相如列传第五十七.txt
117,29,29,合字拆形,<支隹>,鳷<支隹>,（删除标签，保留鳷）,B,，率乎直指，闇乎反乡。 蹶石关，历封峦，过鳷<支隹>鹊，望露寒，下棠梨，息宜春，西驰宣曲，濯鹢牛,地名鳷鹊；鳷已完整，标签疑重复拆形,01史记_117_司马相如列传第五十七.txt
117,29,29,合字拆形,<谷凡>,<谷凡>,待对勘,C,轹，乘骑之所蹂若，人民之所蹈籍，与其穷极倦<谷凡>，惊惮慴伏，不被创刃而死者，佗佗籍籍，填阬满,徽某受訖、穷极倦某，版本用字不一,01史记_117_司马相如列传第五十七.txt
117,56,56,合字拆形,<谷害>,<谷害>,谹,B,州兮，望南山之参差。 岩岩深山之谾々兮，通谷<谷害>兮谽。汩淢噏习以永逝兮，注平皋之广衍。观众树,通谷谹兮谽；谷+害合为谹,01史记_117_司马相如列传第五十七.txt
117,58,58,合字拆形,<虫幽>,<虫幽>,蚴,A,而云浮。驾应龙象舆之蠖略逶丽兮，骖赤螭青虬之<虫幽>蟉蜿蜒。低卬夭蟜据以骄骜兮，诎折隆穷蠼以连卷,蚴螬蜿蛸；虫+幽合为蚴,01史记_117_司马相如列传第五十七.txt
117,63,63,合字拆形,<石睘>,<石睘>,待对勘,C,离。 径入雷室之砰磷郁律兮，洞出鬼谷之崛礨嵬<石睘>。遍览八纮而观四荒兮，朅渡九江而越五河。经营,崛磨巍某；石+睘与磧不完全同形,01史记_117_司马相如列传第五十七.txt
126,5,5,合字拆形,<月卺>,<月卺>,待对勘,C,伏而饮，不过一斗径醉矣。若亲有严客，髡帣韝鞠<月卺>，待酒於前，时赐馀沥，奉觞上寿，数起，饮不过,滑稽列传鞠某；月+卺与通行候选部件不严合,01史记_126_滑稽列传第六十六.txt
